city,body_type,Kms_Driven,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Mileage,Engine_Displacement,Max Power,Color,Engine Type,Max Torque,No of Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed
Kolkata,Sedan,70000,Toyota,Toyota Camry,2014,2123,Hybrid,975000,2014,Third Party insurance,Petrol,5,WB02,Third Owner,Automatic,19.16,2494,158.2bhp@5700rpm,White,2AR FXE Petrol Engine ,213Nm@4500rpm,4.0,DOHC,Electronic Fuel Injection(EFI),90 X 98 mm,No,No,4825,1825,1480,2775,1580,1570,1625,2100,6 Speed ,Front Wheel Drive,Power,5.5,Ventilated Disc,Solid Disc,"Tubeless,Radial",17,4.0,184.0,352.0,10.5:1,12.9,170
Kolkata,Hatchback,23981,Datsun,Datsun RediGO,2017,5236,T Option,266000,Jul 2017,Comprehensive,Petrol,5,WB24,First Owner,Manual,22.7,799,53.64bhp@5678rpm,Red,0.8L Petrol Engine,72Nm@4386rpm,3.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,3429,1560,1541,2348,1490,1495,770,1490,5-Speed,Two Wheel Drive,Power,5.1,Disc,Drum,"Tubeless,Radial",0,5.0,185.0,222.0,10.5:1,12.9,170
Kolkata,SUV,7100,Renault,Renault Kiger,2021,8352,RXT AMT,595000,Nov 2021,Comprehensive,Petrol,5,WB06,First Owner,Automatic,19.03,999,71.01bhp@6250rpm,Blue,1.0L energy,96Nm@3500rpm,3.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,3991,1750,1605,2500,1536,1535,1055,1490,5 Speed,Front Wheel Drive,Electric,5.1,Disc,Drum,"Tubeless, Radial",0,5.0,184.0,405.0,10.5:1,12.9,170
Kolkata,Hatchback,71574,Hyundai,Hyundai i20,2011,1642,1.2 Sportz,223000,Feb 2012,Third Party insurance,Petrol,5,WB06,Second Owner,Manual,17.0,1197,80 PS at 5200 rpm,Red,In-Line Engine,"11.4 kgm at 4,000 rpm",4.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3940,1710,1505,2520,1490,1495,1020,1490,5 Speed,Front Wheel Drive,Power,5.1,Disc,Drum,"Tubeless,Radial",14,5.0,184.0,295.0,:1,12.96,170
Kolkata,SUV,50000,Audi,Audi Q3,2014,99,35 TDI Quattro Premium,1200000,2014,Third Party insurance,Diesel,5,WB02,Second Owner,Automatic,15.73,1968,174.33bhp@4200rpm,White,TDI Diesel Engine,380Nm@1750-2500rpm,4.0,DOHC,CRDI,73.0 X 89.4 mm,Yes,No,4385,2019,1608,2603,1571,1575,1660,2185,7-Speed S-Tronic ,All Wheel Drive,Power,5.9,Ventilated Disc,Drum,"Tubeless,Radial",16,5.0,184.0,460.0,10.5:1,8.2,212
Kolkata,Hatchback,35629,Maruti,Maruti Wagon R,2018,7051,VXI AMT 1.2,425000,Nov 2018,Comprehensive,Petrol,5,WB18,First Owner,Automatic,20.52,1197,81.80bhp@6000rpm,Brown,K12M Petrol Engine,113Nm@4200rpm,4.0,DOHC,MPFI,69 x 72 mm,No,No,3655,1620,1675,2435,1490,1495,1103,1340,5 Speed,Front Wheel Drive,Power,4.7,Disc,Drum,"Tubeless Tyres, Radial",0,5.0,184.0,352.0,10.5:1,18.6,170
Kolkata,Hatchback,11476,Hyundai,Hyundai Santro,2020,7463,Sportz AMT,596000,Jun 2020,Comprehensive,Petrol,5,WB02,Second Owner,Automatic,20.3,1086,68.05bhp@5500rpm,Silver,1.1 L Petrol,99Nm@4500 rpm,4.0,SOHC,MPFI,73.0 X 89.4 mm,No,No,3610,1645,1560,2400,1463,1481,1070,1490,5 Speed,Front Wheel Drive,Electric,5.1,Disc,Drum,"Tubeless,Radial",0,5.0,184.0,235.0,10.5:1,12.9,170
Kolkata,Hatchback,31000,Renault,Renault KWID,2018,5096,RXT Optional,250000,Oct 2018,Third Party insurance,Petrol,5,WB02,First Owner,Manual,25.17,799,53.3bhp@5678rpm,Silver,Petrol Engine,72Nm@4386rpm,3.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,3679,1579,1478,2422,1490,1495,730,1490,5 Speed,Front Wheel Drive,Power,4.9,Disc,Drum,"Tubeless,Radial",0,5.0,184.0,300.0,10.5:1,16.0,135
Kolkata,Sedan,41005,Maruti,Maruti Swift Dzire,2011,4224,VXi,221000,Aug 2011,Comprehensive,Petrol,5,WB24,Second Owner,Manual,17.5,1298,85.8bhp@6000rpm,Silver,In-Line Engine,114Nm@4000rpm,4.0,SOHC,MPFI,74 x 75.5 mm,No,No,4160,1690,1530,2390,1470,1480,1025,1490,5 Speed,Two Wheel Drive,Power,5.1,Ventilated Disc,Drum,"Tubeless,Radial",14,4.0,184.0,352.0,9.0:1,12.9,170
Kolkata,Hatchback,60055,Maruti,Maruti Wagon R,2010,4348,LX BS IV,208000,Jun 2010,Third Party insurance,Petrol,5,WB06,First Owner,Manual,18.9,998,67.1bhp@6200rpm,Red,K Series Petrol Engine,90Nm@3500rpm,3.0,DOHC,MPFI,73.0 X 89.4 mm,No,No,3595,1475,1670,2400,1295,1290,860,1350,5 Speed,Front Wheel Drive,Manual,4.6,Ventilated Disc,Drum,"Tubeless, Radial",13,4.0,184.0,352.0,10.5:1,12.9,170
Kolkata,Hatchback,65005,Maruti,Maruti Swift,2013,4202,VXI,311000,Nov 2013,Comprehensive,Petrol,5,WB22,First Owner,Manual,18.6,1197,85.8bhp@6000rpm,Grey,K Series Petrol Engine,114Nm@4000rpm,4.0,DOHC,MPFI,73 X 71.5 mm,No,No,3850,1695,1530,2430,1485,1495,970,1415,5 Speed,Front Wheel Drive,Power,4.8,Ventilated Disc,Drum,"Tubeless,Radial",14,5.0,184.0,232.0,10.0:1,12.29,170
Kolkata,Hatchback,2657,Renault,Renault KWID,2022,7429,RXT,463999,Jun 2022,Third Party insurance,Petrol,5,WB08,First Owner,Manual,22.3,799,53.26bhp@5600rpm,Red,Petrol Engine,72Nm@4250rpm,3.0,DOHC,MPFi,73.0 X 89.4 mm,No,No,3731,1579,1474,2422,1490,1495,710,1490,5 Speed,Front Wheel Drive,Electric,4.9,Disc,Drum,"Tubeless,Radial",0,5.0,184.0,279.0,10.5:1,16.0,170
Kolkata,Hatchback,16000,Hyundai,Hyundai i10,2011,1569,Magna 1.1L,204999,Apr 2011,Comprehensive,Petrol,5,WB06,First Owner,Manual,19.81,1086,68.05bhp@5500rpm,Grey,IRDE2 Engine,99.04Nm@4500rpm,4.0,SOHC,MPFI,73.0 X 89.4 mm,No,No,3585,1595,1550,2380,1400,1385,860,1490,5 Speed,Front Wheel Drive,Power,4.7,Ventilated Disc,Drum,Tubeless,0,5.0,184.0,225.0,10.5:1,14.3,165
Kolkata,SUV,7426,Tata,Tata Harrier,2023,7496,XZA Plus AT BSVI,2175000,May 2023,Comprehensive,Diesel,5,WB02,First Owner,Automatic,14.6,1956,167.67bhp@3750rpm,Red,Kryotec 2.0 L Turbocharged Engine,350Nm@1750-2500rpm,4.0,DOHC,MPFI,73.0 X 89.4 mm,Yes,No,4598,1894,1706,2741,1490,1495,1700,1490,6-Speed,Front Wheel Drive,Power,5.1,Disc,Disc,"Tubeless, Radial",17,5.0,184.0,425.0,10.5:1,12.9,170
